"csoport","anya_lakohely","anya_vegzettseg","IQ","anya_IQ"
"halolaj","videk","alapfoku",103,93
"halolaj","videk","alapfoku",106,106
"halolaj","nagyvaros","felsofoku",107,102
"halolaj","nagyvaros","alapfoku",96,112
"halolaj","nagyvaros","felsofoku",119,105
"halolaj","videk","felsofoku",125,110
"halolaj","videk","kozepfoku",104,100
"halolaj","nagyvaros","felsofoku",121,82
"halolaj","videk","alapfoku",99,96
"halolaj","nagyvaros","alapfoku",89,83
"halolaj","videk","felsofoku",124,102
"halolaj","videk","kozepfoku",120,125
"halolaj","videk","alapfoku",115,86
"halolaj","videk","felsofoku",133,94
"halolaj","videk","alapfoku",87,9.3
"halolaj","videk","alapfoku",92,88
"halolaj","nagyvaros","kozepfoku",111,112
"halolaj","nagyvaros","kozepfoku",104,94
"halolaj","videk","alapfoku",125,108
"halolaj","videk","kozepfoku",88,100
"halolaj","nagyvaros","kozepfoku",68,89
"halolaj","nagyvaros","felsofoku",88,82
"halolaj","videk","kozepfoku",84,112
"halolaj","nagyvaros","alapfoku",104,85
"halolaj","videk","felsofoku",124,110
"halolaj","nagyvaros","felsofoku",104,120
"halolaj","videk","felsofoku",115,115
"halolaj","nagyvaros","kozepfoku",122,118
"halolaj","videk","felsofoku",94,79
"halolaj","videk","felsofoku",127,101
"kontrol","nagyvaros","alapfoku",98,124
"kontrol","nagyvaros","felsofoku",98,92
"kontrol","nagyvaros","kozepfoku",86,119
"kontrol","videk","felsofoku",109,79
"kontrol","videk","kozepfoku",98,128
"kontrol","nagyvaros","alapfoku",110,90
"kontrol","videk","kozepfoku",87,98
"kontrol","videk","felsofoku",124,149
"kontrol","videk","felsofoku",104,92
"kontrol","videk","alapfoku",92,92
"kontrol","nagyvaros","felsofoku",102,106
"kontrol","videk","felsofoku",94,107
"kontrol","nagyvaros","felsofoku",127,111
"kontrol","nagyvaros","kozepfoku",99,100
"kontrol","videk","alapfoku",96,89
"kontrol","videk","alapfoku",99,94
"kontrol","videk","kozepfoku",106,102
"kontrol","videk","alapfoku",121,123
"knotrol","videk","felsofoku",97,120
"kontrol","videk","felsofoku",101,110
"kontrol","nagyvaros","kozepfoku",102,81
"kontrol","nagyvaros","kozepfoku",101,104
"kontrol","nagyvaros","alapfoku",90,90
"kontrol","nagyvaros","alapfoku",100,110
"kontrol","videk","kozepfoku",67,86
"kontrol","videk","alapfoku",84,115
"kontrol","nagyvaros","kozepfoku",84,85
"kontrol","nagyvaros","felsofoku",96,108
"kontrol","nagyvaros","felsofoku",98,99
"kontrol","videk","felsofoku",115,111
