"ID","Gen","Age","IQ","math1","math2","read1","read2"
1,0,144,147,7,36,25,15
2,1,108,154,10,37,41,27
3,1,96,93,3,11,21,1
4,0,144,138,7,34,36,13
5,1,132,82,11,34,18,10
6,0,132,112,2,18,29,12
7,0,120,113,4,26,34,24
8,0,132,133,6,28,28,22
9,1,108,91,0,11,16,5
10,0,108,109,6,33,23,17
11,0,108,117,6,30,16,21
12,0,144,111,4,25,13,13
13,1,132,87,7,6,16,0
14,1,108,117,7,30,20,9
15,1,108,110,6,15,22,8
16,0,132,94,7,16,5,10
17,1,11,130,12,49,17,13
18,1,108,109,6,30,29,11
19,0,96,105,8,24,20,15
20,0,120,122,8,29,22,22
21,1,144,125,7,14,29,23
22,1,120,64,1,7,12,5
23,0,144,105,7,36,29,16
24,1,96,127,9,35,32,17
25,1,144,113,10,31,17,17
26,0,96,84,6,26,22,13
27,1,144,108,4,0,21,10
28,0,144,93,7,33,29,13
29,0,108,126,6,31,28,8
30,0,132,144,13,49,34,23
31,0,108,89,7,32,37,31
32,0,108,101,6,12,25,9
33,0,120,120,1,1,23,17
34,1,144,112,7,11,26,8
35,1,120,122,9,1,21,17
36,0,96,84,0,18,22,8
37,1,144,106,7,14,11,4
38,0,132,146,6,40,25,22
39,0,96,139,6,29,28,25
40,1,96,86,4,22,15,13
41,1,96,93,4,9,28,9
42,1,108,109,11,22,25,20
43,0,96,105,5,27,23,11
44,1,108,98,10,32,29,20
45,0,96,143,12,35,19,20
46,0,144,121,3,13,30,20
47,1,108,143,12,29,36,33
48,0,120,84,8,37,12,8
49,1,108,120,11,37,27,11
50,0,96,122,3,15,31,15
51,0,144,111,7,29,26,27
52,1,108,135,9,26,17,8
53,0,132,122,4,10,24,11
54,0,120,116,5,17,23,14
55,0,96,83,6,20,26,13
56,0,108,107,0,2,25,6
57,1,144,111,9,15,26,10
58,0,144,109,7,31,17,15
59,1,144,98,7,2,31,15
60,0,108,104,6,30,20,10
61,0,132,110,3,14,22,14
62,1,132,83,3,35,21,4
63,0,120,106,8,40,18,1
64,1,108,90,3,18,10,13
65,1,120,91,6,13,20,9
66,1,144,110,-3,13,17,11
67,0,132,104,2,24,15,8
68,1,120,58,0,0,7,6
69,0,132,119,9,6,30,11
70,0,96,103,6,34,17,0
71,1,120,125,6,38,18,6
72,0,96,109,5,12,28,17
73,1,144,101,5,10,12,10
74,0,144,158,7,39,38,28
75,0,132,89,2,10,25,10
76,1,120,93,4,31,24,13
77,1,96,113,5,35,12,19
78,0,144,119,7,38,35,25
79,1,132,82,7,20,5,0
80,1,132,94,0,7,12,11
81,0,120,111,5,30,36,21
82,1,120,72,3,26,13,5
83,0,132,126,8,37,17,18
84,0,120,129,10,32,14,9
85,0,132,113,4,6,35,24
86,0,144,110,9,26,29,22
87,1,120,97,7,19,16,15
88,0,108,97,7,15,17,13
89,1,120,96,7,39,18,12
90,0,120,75,6,31,27,17
91,0,132,127,6,20,27,17
92,0,120,114,4,16,9,8
93,0,120,146,13,43,23,24
94,0,144,115,4,34,20,5
95,1,96,88,6,13,14,21
96,0,96,116,8,39,16,16
97,0,96,101,7,31,17,6
98,1,132,103,9,42,31,22
99,0,108,73,0,14,18,8
100,0,108,85,6,38,8,6
101,1,96,107,9,45,20,18
102,0,96,99,3,22,12,5
103,1,132,127,8,35,30,28
104,1,96,85,2,4,16,8
105,1,120,118,5,21,26,17
106,1,132,102,2,18,30,21
107,1,120,111,6,15,24,23
108,1,96,111,4,15,26,16
109,0,144,123,9,26,29,12
110,1,108,112,7,23,28,25
