"ID","Gen","Age","IQ","math1","math2","read1","read2"
1,"0",144,105,6,33,18,12
2,"0",96,112,3,27,12,1
3,"0",132,127,7,28,30,25
4,"1",96,125,5,13,37,23
5,"1",132,90,7,22,22,20
6,"1",120,93,6,15,25,5
7,"0",144,87,5,22,30,21
8,"1",144,113,3,12,13,6
9,"0",96,109,6,48,46,29
10,"0",120,122,5,30,26,10
11,"0",96,100,4,16,12,2
12,"0",132,103,5,11,24,7
13,"0",108,99,3,18,18,18
14,"0",120,106,4,32,14,12
15,"0",96,104,8,37,0,13
16,"0",120,112,0,2,18,7
17,"1",96,89,8,28,18,15
18,"0",120,124,10,32,20,28
19,"0",120,104,3,0,22,11
20,"1",96,115,7,0,25,20
21,"0",120,84,11,31,17,12
22,"0",120,105,2,0,19,13
23,"0",108,121,1,9,24,15
24,"0",120,94,6,10,27,17
25,"0",120,123,5,32,26,21
26,"1",144,140,12,38,27,14
27,"0",132,95,6,26,16,9
28,"1",132,99,0,14,18,18
29,"0",108,103,5,19,18,8
30,"1",144,121,8,45,32,29
31,"1",96,103,4,31,25,9
32,"0",120,106,4,19,31,23
33,"1",108,142,4,39,24,12
34,"0",132,123,8,29,15,7
35,"fiu",108,115,4,28,24,17
36,"1",96,106,1,11,20,16
37,"1",132,113,8,26,37,15
38,"0",96,153,10,31,46,23
39,"1",132,143,9,33,30,18
40,"1",144,104,10,37,25,21
41,"1",108,112,6,33,17,7
42,"1",108,77,0,0,5,0
43,"1",144,102,3,20,15,9
44,"1",144,90,0,0,13,10
45,"1",108,109,0,0,21,11
46,"1",144,111,6,23,18,23
47,"0",108,92,5,17,15,8
48,"1",120,105,8,29,22,12
49,"0",132,143,3,33,23,20
50,"1",108,98,8,14,16,5
51,"1",96,152,15,33,34,26
52,"0",144,103,11,47,28,17
53,"0",132,115,11,26,20,20
54,"1",132,134,6,15,20,9
55,"0",132,97,9,39,39,16
56,"0",108,115,10,21,16,11
57,"1",144,140,6,16,24,16
58,"1",132,105,6,15,25,15
59,"1",132,131,10,29,23,13
60,"1",144,94,3,13,28,12
61,"0",120,117,8,30,20,16
62,"1",144,88,1,6,22,0
63,"1",108,121,7,10,20,5
64,"0",144,93,0,30,27,18
65,"1",96,115,9,7,21,14
66,"0",120,99,8,28,25,13
67,"0",108,74,3,34,18,9
68,"0",108,119,10,17,23,14
69,"0",120,126,7,28,14,8
70,"0",132,118,2,19,16,0
71,"0",96,101,10,55,18,14
72,"1",120,128,9,31,31,24
73,"0",144,120,5,22,27,17
74,"1",96,120,6,27,16,10
75,"1",132,103,9,24,25,16
76,"1",144,122,2,21,23,5
77,"1",108,95,5,18,19,1
78,"0",96,136,6,40,23,29
79,"0",144,150,6,37,31,32
80,"0",108,126,5,40,26,12
81,"0",96,104,4,17,23,11
82,"1",108,97,5,19,39,14
83,"1",132,110,6,18,22,13
84,"1",132,106,9,46,31,9
85,"1",132,105,7,26,20,21
86,"1",120,146,6,44,30,21
87,"0",96,103,5,9,12,15
88,"0",144,112,4,12,20,23
89,"0",96,84,4,22,21,16
90,"0",132,125,6,31,23,20
91,"1",132,121,5,21,21,12
92,"1",120,105,8,30,19,24
93,"0",96,74,0,9,19,9
94,"0",108,113,11,41,30,29
95,"0",144,95,2,11,30,20
96,"0",96,110,6,13,26,5
97,"0",120,122,10,12,23,17
98,"0",108,119,10,45,35,27
99,"0",120,110,6,22,28,7
100,"0",120,129,9,39,24,22
101,"0",108,98,7,23,23,27
102,"1",12,117,8,17,27,18
103,"1",96,118,3,9,26,15
104,"1",132,99,7,38,24,13
105,"0",96,121,8,45,18,16
106,"1",120,102,5,13,22,13
107,"0",144,104,6,15,14,3
108,"0",144,135,6,21,21,0
109,"0",108,92,13,34,28,27
110,"1",108,119,9,34,27,21
