"ID","Gen","Age","IQ","math1","math2","read1","read2"
1,1,132,100,2,15,26,17
2,1,120,106,1,0,13,8
3,0,96,76,4,10,22,9
4,1,96,90,6,23,30,16
5,1,96,115,3,40,17,15
6,0,96,99,6,48,13,0
7,0,108,86,3,21,8,17
8,1,144,94,8,18,16,15
9,0,144,119,6,40,26,21
10,0,120,136,11,48,27,28
11,1,144,110,6,18,21,4
12,1,144,119,6,26,11,9
13,2,132,97,8,19,23,14
14,0,108,89,6,23,16,17
15,1,96,93,6,14,8,18
16,0,108,140,10,31,30,22
17,0,96,115,5,34,23,13
18,0,132,108,8,42,27,31
19,0,108,93,6,12,16,10
20,1,108,104,8,29,17,12
21,0,144,118,4,18,34,19
22,1,132,121,2,12,25,15
23,0,108,121,8,37,18,11
24,0,96,111,5,8,31,11
25,1,144,112,4,17,16,7
26,0,132,117,7,36,29,15
27,1,144,110,4,16,17,7
28,0,144,130,8,35,24,21
29,0,132,78,4,1,30,13
30,0,132,130,9,25,16,17
31,0,132,91,7,22,24,14
32,1,132,110,1,16,11,7
33,1,120,114,8,30,15,18
34,0,144,103,5,5,15,8
35,0,144,95,8,21,20,21
36,0,144,140,7,24,35,24
37,0,96,121,6,0,31,20
38,0,96,128,7,24,18,17
39,0,132,132,9,44,20,15
40,1,144,103,7,20,22,14
41,1,132,127,7,23,19,1
42,1,120,80,9,5,30,3
43,1,144,101,6,15,27,14
44,1,108,79,2,0,16,9
45,0,96,87,0,0,16,3
46,1,96,105,6,20,19,12
47,0,120,116,5,17,12,18
48,1,108,119,12,54,26,16
49,1,108,132,9,25,18,13
50,0,144,126,6,25,22,7
51,1,132,111,7,25,34,17
52,1,120,116,2,17,27,17
53,0,108,124,8,19,29,14
54,1,120,114,4,31,27,11
55,0,144,93,4,2,-21,12
56,1,96,98,7,13,21,11
57,0,120,96,2,15,22,18
58,1,96,115,8,11,13,21
59,0,132,135,6,16,31,20
60,0,108,91,1,0,29,25
61,1,108,106,8,14,10,8
62,1,144,82,2,21,16,2
63,1,108,126,6,17,21,19
64,1,132,99,3,18,30,17
65,1,96,103,4,19,17,10
66,0,120,136,10,41,30,23
67,1,96,123,7,12,21,22
68,0,120,128,10,10,25,17
69,0,132,66,2,21,7,6
70,1,132,107,6,28,25,14
71,0,96,97,3,30,24,13
72,1,132,88,3,7,11,10
73,0,120,111,10,33,31,16
74,1,144,83,6,33,21,18
75,1,132,117,6,34,31,23
76,1,120,110,11,35,20,17
77,1,108,103,6,19,21,14
78,0,120,82,6,16,18,7
79,0,108,105,2,23,28,10
80,1,108,97,1,0,17,11
81,0,120,101,2,11,30,19
82,0,120,120,10,36,18,12
83,1,108,105,2,5,20,4
84,0,120,102,1,0,11,4
85,0,96,110,8,23,27,25
86,1,144,92,6,22,14,15
87,1,132,119,6,37,24,5
88,1,120,126,4,7,22,19
89,1,144,96,2,3,13,9
90,1,96,126,9,29,35,13
91,0,96,114,7,26,19,9
92,0,96,113,12,20,27,3
93,1,108,101,8,6,28,18
94,1,120,90,7,15,27,11
95,1,96,109,1,8,32,21
96,1,120,91,4,16,22,5
97,1,120,118,9,42,23,2
98,1,132,113,7,40,12,15
99,1,144,127,8,24,18,10
100,1,108,105,6,32,26,15
101,0,108,116,3,30,19,15
102,1,132,96,11,27,22,19
103,0,132,102,5,2,22,22
104,1,144,121,4,27,24,19
105,0,144,88,7,12,6,1
106,0,108,99,6,30,21,16
107,0,96,120,4,0,29,20
108,1,108,131,1,12,9,0
109,0,120,103,3,38,23,19
110,0,120,117,0,0,22,1
