"csoport","anya_lakohely","anya_vegzettseg","IQ","anya_IQ"
"halolaj","videk","felsofoku",137,134.373804195328
"halolaj","videk","kozepfoku",130,109.264271879391
"halolaj","nagyvaros","felsofoku",114,118.371921000383
"halolaj","videk","kozepfoku",105,87.8885415057503
"halolaj","nagyvaros","alapfoku",102,123.174236757293
"halolaj","videk","kozepfoku",106,114.729847045043
"halolaj","videk","alapfoku",109,95.6824030519797
"halolaj","nagyvaros","felsofoku",99,116.784139303191
"halolaj","nagyvaros","alapfoku",99,98.9009563084406
"halolaj","videk","alapfoku",109,86.8024943727208
"halolaj","nagyvaros","felsofoku",110,98.888964983924
"halolaj","nagyvaros","alapfoku",103,96.2762519621374
"halolaj","videk","kozepfoku",101,87.6837785261228
"halolaj","videk","alapfoku",85,95.2244307555788
"halolaj","videk","alapfoku",89,93.1986160733264
"halolaj","nagyvaros","kozepfoku",100,72.4183462123686
"halolaj","nagyvaros","kozepfoku",101,127.538037691751
"halolaj","nagyvaros","kozepfoku",105,122.76063224378
"halolaj","videk","felsofoku",132,93.6563459980594
"halolaj","videk","felsofoku",9.7,95.7177218652603
"halolaj","vidwk","alapfoku",113,132.502490466978
"halolaj","nagyvaros","kozepfoku",96,107.273165292921
"halolaj","nagyvaros","alapfoku",98,112.311176726199
"halolaj","nagyvaros","kozepfoku",104,102.205703652572
"halolaj","videk","alapfoku",105,111.480218248378
"halolaj","videk","felsofoku",99,100.060830339253
"halolaj","videk","felsofoku",109,97.0793076144602
"halolaj","videk","kozepfoku",78,99.7911274839249
"halolaj","videk","felsofoku",122,120.368712813669
"halolaj","nagyvaros","kozepfoku",141,138.239324775817
"kontrol","nagyvaros","felsofoku",96,90.9761133879396
"kontrol","nagyvaros","alapfoku",117,99.1961506758771
"kontrol","videk","kozepfoku",107,97.4344730004047
"kontrol","nagyvaros","felsofoku",123,128.862007819504
"kontrol","nagyvaros","kozepfoku",109,109.834105679689
"kontrol","videk","felsofoku",114,101.267668024991
"kontrol","videk","kozepfoku",111,106.530522514784
"kontrol","nagyvaros","felsofoku",122,102.965496842606
"kontrol","nagyvaros","felsofoku",107,103.744176210056
"kontrol","nagyvaros","felsofoku",112,108.184886111707
"kontrol","nagyvaros","felsofoku",120,94.3805359437245
"kontrol","videk","felsofoku",115,120.006848709919
"kontrol","nagyvaros","alapfoku",109,92.6293789495846
"kontrol","nagyvaros","alapfoku",108,93.9180071123132
"kontrol","videk","kozepfoku",102,90.3697203256017
"kontrol","videk","kozepfoku",104,112.863996631737
"kontrol","nagyvaros","felsofoku",90,94.0609893713812
"kontrol","nagyvaros","felsofoku",111,98.9093205104699
"kontrol","videk","kozepfoku",89,128.757848170048
"kontrol","videk","felsofoku",81,95.1983121520209
"kontrol","nagyvaros","alapfoku",125,116.495913790028
"kontrol","nagyvaros","kozepfoku",120,101.662024863262
"kontrol","videk","felsofoku",106,104.318977629569
"kontrol","videk","alapfoku",86,116.363838913786
"kontrol","nagyvaros","felsofoku",125,119.422364313751
"kontrol","videk","kozepfoku",128,125.158514638046
"kontrol","nagyvaros","felsofoku",87,104.922643005293
"kontrol","videk","felsofoku",120,98.4372091345433
"kontrol","videk","kozepfoku",102,97.9578300130249
"kontrol","videk","kozepfoku",75,89.4734978740381
