"ID","Gen","Age","IQ","math1","math2","read1","read2"
1,"0",108,144,8,40,21,16
2,"1",96,126,9,16,26,18
3,"1",108,102,8,29,28,16
4,"0",144,110,6,33,25,25
5,"1",96,97,4,28,23,6
6,"1",108,90,7,33,33,18
7,"0",144,144,9,37,41,24
8,"0",108,115,3,24,25,12
9,"0",132,93,5,24,18,14
10,"1",120,121,10,29,37,18
11,"1",108,116,8,22,27,22
12,"0",120,128,8,33,25,17
13,"1",132,114,8,56,19,10
14,"1",144,92,4,20,27,12
15,"lany",132,101,9,27,26,18
16,"0",132,84,7,19,15,10
17,"1",132,97,9,25,21,11
18,"0",144,127,11,36,39,34
19,"0",144,104,7,20,22,17
20,"1",96,85,3,19,17,15
21,"1",108,85,4,22,15,15
22,"0",96,78,-1,15,25,15
23,"1",108,118,8,33,25,20
24,"1",144,138,10,38,25,28
25,"0",132,104,5,30,17,11
26,"1",144,136,11,39,28,20
27,"0",120,96,6,32,20,17
28,"0",120,100,1,18,23,15
29,"1",120,133,2,23,33,20
30,"1",96,136,9,44,27,29
31,"1",108,136,7,23,30,15
32,"1",120,111,10,53,28,9
33,"0",120,103,1,32,22,16
34,"1",132,104,9,25,20,11
35,"0",144,120,6,13,28,15
36,"0",144,116,11,38,28,28
37,"0",120,122,8,34,12,16
38,"0",132,103,11,34,26,12
39,"0",144,142,10,52,24,14
40,"0",120,112,6,25,25,27
41,"1",108,107,10,44,11,8
42,"0",108,124,8,45,21,19
43,"0",96,107,3,13,13,9
44,"1",132,110,11,46,21,15
45,"0",132,96,3,31,22,16
46,"0",96,77,8,20,12,14
47,"1",96,111,7,41,23,16
48,"1",132,118,4,10,24,16
49,"0",108,92,6,45,15,5
50,"0",96,93,6,29,27,5
51,"0",120,99,9,29,21,11
52,"0",96,127,11,28,29,29
53,"0",144,82,5,29,21,10
54,"0",120,81,5,3,25,19
55,"1",132,124,6,35,23,10
56,"1",132,118,3,30,24,21
57,"1",120,120,9,45,31,16
58,"0",144,125,7,29,25,19
59,"0",96,121,6,21,28,13
60,"1",108,138,4,24,16,9
61,"1",120,106,7,13,29,23
62,"1",96,130,8,12,23,17
63,"1",144,128,7,37,22,3
64,"0",144,112,3,13,7,13
65,"1",144,83,6,23,18,18
66,"1",144,152,15,49,46,27
67,"0",108,121,7,25,25,20
68,"1",144,125,8,18,16,29
69,"0",132,152,6,28,35,16
70,"1",144,117,10,28,34,20
71,"0",96,128,7,32,12,15
72,"1",108,114,6,20,28,24
73,"1",120,123,7,26,17,19
74,"1",144,108,9,41,19,14
75,"0",132,113,4,10,31,7
76,"0",108,115,5,11,27,18
77,"1",108,112,10,31,27,21
78,"0",144,104,5,22,33,20
79,"1",108,76,4,9,21,6
80,"1",96,124,5,13,28,22
81,"0",132,113,13,40,26,17
82,"0",132,125,11,28,30,25
83,"0",108,116,7,31,20,18
84,"0",96,137,10,27,24,1
85,"0",96,119,6,34,35,19
86,"0",120,117,10,26,18,22
87,"1",120,94,2,27,27,23
88,"0",96,117,9,36,27,23
89,"1",120,118,4,31,20,21
90,"0",120,101,1,18,18,3
91,"0",132,90,2,1,23,8
92,"1",120,86,6,27,24,18
93,"0",120,87,2,21,14,8
94,"1",96,111,5,28,24,19
95,"0",144,122,5,29,25,31
96,"1",96,69,4,15,24,11
97,"1",132,97,6,13,13,11
98,"0",132,137,2,11,37,19
99,"0",144,127,3,22,16,6
100,"1",108,78,6,0,20,9
101,"0",108,121,5,40,34,24
102,"1",108,138,5,33,29,19
103,"1",96,93,6,16,22,12
104,"1",96,115,7,6,17,10
105,"0",120,104,6,19,23,11
106,"1",132,103,9,37,31,20
107,"1",120,87,5,25,27,10
108,"0",108,109,6,6,28,14
109,"0",132,75,3,6,22,8
110,"0",96,130,10,31,22,22
