"rank","discipline","yrs.since.phd","yrs.service","sex","salary","institution"
"Prof","B",19,18,"Male",145719,"Princeton"
"Prof","B",20,16,"Male",179169,"Princeton"
"AsstProf","B",4,3,"Male",85719,"Princeton"
"Prof","B",45,39,"Male",120969,"Princeton"
"Prof","B",40,41,"Male",147469,"Princeton"
"AssocProf","B",6,6,"Male",102969,"Princeton"
"Prof","B",30,23,"Male",180969,"Princeton"
"Prof","B",45,45,"Male",153734,"Princeton"
"Prof","B",21,20,"Male",125219,"Princeton"
"Prof","B",18,18,"Femmmale",134969,"Princeton"
"AssocProf","B",12,8,"Male",125769,"Princeton"
"AsstProf","B",7,2,"Male",85769,"Princeton"
"AsstProf","B",1,1,"Male",83669,"Princeton"
"AsstProf","B",2,0,"Male",83969,"Princeton"
"Prof","B",20,18,"Male",110769,"Princeton"
"Prof","B",12,3,"Male",123119,"Princeton"
"Prof","B",19,20,"Male",106969,"Princeton"
"Prof","A",38,34,"Male",109419,"Princeton"
"Prof","A",37,23,"Male",130719,"Princeton"
"Prof","A",39,36,"Female",142969,"Princeton"
"Prof","A",31,26,"Male",95534,"Princeton"
"Prof","A",36,31,"Male",108549,"Princeton"
"Prof","A",34,30,"Male",99873,"Princeton"
"Prof","A",24,19,"Male",119037,"Princeton"
"AssocProf","A",13,8,"Female",80799,"Princeton"
"Prof","A",21,8,"Male",112263,"Princeton"
"Prof","A",35,23,"Male",140854,"Princeton"
"AsstProf","B",5,3,"Male",88348,"Princeton"
"AsstProf","B",11,0,"Male",82969,"Princeton"
"Prof","B",12,8,"Male",124192,"Princeton"
"Prof","B",20,4,"Male",138230,"Princeton"
"AsstProf","B",7,2,"Male",85885,"Princeton"
"Prof","B",13,9,"Male",123225,"Princeton"
"AsstProf","B",4,2,"Male",86194,"Princeton"
"AsstProf","B",4,2,"Female",86194,"Princeton"
"AsstProf","B",5,0,"Female",82969,"Princeton"
"Prof","B",22,21,"Male",161719,"Princeton"
"AsstProf","B",7,4,"Male",92342,"Princeton"
"Prof","B",41,31,"Male",131165,"Princeton"
"AssocProf","B",9,9,"Male",106907,"Princeton"
"Prof","B",23,2,"Male",142209,"Harvard"
"AssocProf","B",23,23,"Male",89127,"Harvard"
"Prof","B",40,27,"Male",97008,"Harvard"
"Prof","B",380,38,"Male",227254,"Harvard"
"Prof","B",19,19,"Male",90093,"Harvard"
"Prof","B",25,15,"Male",110487,"Harvard"
"Prof","B",40,28,"Male",93902,"Harvard"
"Prof","B",23,19,"Female",147477,"Harvard"
"Prof","B",25,25,"Female",135805,"Harvard"
"AsstProf","B",1,1,"Male",66477,"Harvard"
"Prof","B",28,28,"Male",122330,"Harvard"
"Prof","B",12,11,"Male",104584,"Harvard"
"AsstProf","B",11,3,"Female",70401,"Harvard"
"Prof","B",16,9,"Male",102348,"Harvard"
"AssocProf","B",12,11,"Male",99469,"Harvard"
"AssocProf","B",14,5,"Male",79609,"Harvard"
"Prof","B",23,21,"Male",113413,"Harvard"
"AssocProf","B",9,8,"Male",85924,"Harvard"
"AssocProf","B",10,9,"Male",95844,"Harvard"
"AsstProf","B",8,3,"Male",70753,"Harvard"
"AssocProf","B",9,8,"Male",86013,"Harvard"
"AsstProf","B",3,2,"Male",70952,"Harvard"
"Prof","B",33,31,"Male",105494,"Harvard"
"AssocProf","B",11,11,"Female",99322,"Harvard"
"AsstProf","B",4,3,"Male",64113,"Harvard"
"AssocProf","B",9,8,"Male",96231,"Harvard"
"Prof","B",22,12,"Male",96709,"Harvard"
"Prof","B",35,31,"Male",95127,"Harvard"
"Prof","B",17,17,"Female",107221,"Harvard"
"Prof","B",28,36,"Male",87121,"Harvard"
"Prof","B",17,2,"Male",122029,"Harvard"
"Prof","B",45,45,"Male",142565,"Harvard"
"Prof","B",29,19,"Male",95840,"Harvard"
"Prof","B",35,34,"Male",88100,"Harvard"
"Prof","B",28,23,"Male",109107,"Harvard"
"AsstProf","B",8,3,"Male",68975,"Harvard"
"Prof","B",17,3,"Male",146189,"Harvard"
"Prof","B",26,19,"Male",188709,"Harvard"
"AsstProf","B",3,1,"Male",81809,"Harvard"
"AsstProf","B",6,2,"Male",79949,"Harvard"
"Prof","B",43,28,"Male",150921,"Columbia"
"Prof","B",17,16,"Male",135763,"Columbia"
"Prof","B",22,20,"Male",144818,"Columbia"
"AsstProf","B",6,2,"Male",89003,"Columbia"
"Prof","B",17,18,"Female",123138,"Columbia"
"Prof","B",15,14,"Male",133003,"Columbia"
"Prof","B",37,37,"Male",152886,"Columbia"
"AsstProf","B",2,2,"Male",88578,"Columbia"
"Prof","B",25,25,"Male",172450,"Columbia"
"AssocProf","B",9,7,"Male",107186,"Columbia"
"AsstProf","B",10,5,"Female",97210,"Columbia"
"AssocProf","B",10,7,"Male",105306,"Columbia"
"AssocProf","B",10,7,"Male",105809,"Columbia"
"Prof","B",38,38,"Male",166202,"Columbia"
"Prof","B",21,20,"Male",123861,"Columbia"
"AsstProf","B",4,0,"Male",84178,"Columbia"
"AssocProf","B",17,12,"Male",95789,"Columbia"
"Prof","B",13,7,"Male",129854,"Columbia"
"Prof","B",30,14,"Male",102413,"Columbia"
"Prof","B",41,26,"Male",106867,"Columbia"
"Prof","B",42,25,"Male",133395,"Columbia"
"Prof","B",28,23,"Male",127111,"Columbia"
"Prof","B",16,5,"Male",153481,"Columbia"
"Prof","B",20,14,"Female",127690,"Columbia"
"AssocProf","A",18,10,"Male",84028,"Columbia"
"Prof","A",31,28,"Male",113721,"Columbia"
"AssocProf","A",11,8,"Male",82277,"Columbia"
"AssocProf","A",10,8,"Male",82778,"Columbia"
"AssocProf","A",15,8,"Male",81678,"Columbia"
"Prof","A",40,31,"Male",131383,"Columbia"
"Prof","A",20,16,"Male",112607,"Columbia"
"AssocProf","A",19,16,"Male",82278,"Columbia"
"AsstProf","A",3,1,"Male",72678,"Columbia"
"Prof","A",37,37,"Male",104457,"Columbia"
"Prof","A",12,0,"Female",105178,"Columbia"
"Prof","A",21,9,"Male",120984,"Columbia"
"Prof","A",30,29,"Male",148678,"Columbia"
"Prof","A",39,36,"Male",117693,"Columbia"
"AsstProf","A",4,1,"Male",72678,"Columbia"
"AsstProf","A",5,3,"Female",73678,"Columbia"
"Prof","A",14,14,"Male",115308,"MIT"
"Prof","A",32,32,"Male",124304,"MIT"
"Prof","A",24,22,"Male",97257,"MIT"
"AssocProf","A",25,22,"Female",62879,"MIT"
"Prof","A",24,22,"Male",96609,"MIT"
"Prof","A",54,49,"Male",78157,"MIT"
"Prof","A",28,26,"Male",155495,"MIT"
"AsstProf","A",2,0,"Female",72495,"MIT"
"Prof","A",32,30,"Male",113273,"MIT"
"AsstProf","A",4,2,"Male",72995,"MIT"
"AssocProf","A",11,9,"Male",82996,"MIT"
"Prof","A",56,57,"Male",76835,"MIT"
"AssocProf","A",10,8,"Female",77495,"MIT"
"AsstProf","A",3,1,"Female",72495,"MIT"
"Prof","A",35,25,"Male",168630,"MIT"
"Prof","A",20,18,"Male",135995,"MIT"
"Prof","A",16,14,"Male",108257,"MIT"
"Prof","A",17,14,"Male",105663,"MIT"
"AssocProf","A",10,7,"Male",73872,"MIT"
"Prof","A",21,18,"Male",152659,"MIT"
"AssocProf","A",14,8,"Male",100097,"MIT"
"AssocProf","A",15,10,"Male",81495,"MIT"
"Prof","A",19,11,"Male",106603,"MIT"
"AsstProf","B",3,3,"Male",89937,"MIT"
"Prof","B",27,27,"Male",112691,"MIT"
"Prof","B",28,28,"Male",119010,"MIT"
"AsstProf","B",4,4,"Male",91995,"MIT"
"Prof","B",27,27,"Male",156933,"MIT"
"Prof","B",36,26,"Female",144646,"MIT"
"AsstProf","B",4,3,"Male",95074,"MIT"
"Prof","B",14,12,"Male",128143,"MIT"
"AsstProf","B",4,4,"Male",91995,"MIT"
"Prof","B",21,9,"Male",111163,"MIT"
"AssocProf","B",12,10,"Female",103989,"MIT"
"AsstProf","B",4,0,"Male",91995,"MIT"
"Prof","B",21,21,"Male",118966,"MIT"
"AssocProf","B",12,18,"Male",113336,"MIT"
"AsstProf","B",1,0,"Male",87995,"MIT"
"AssocProf","B",6,6,"Male",95403,"MIT"
"Prof","B",15,16,"Male",137162,"MIT"
"AsstProf","B",2,2,"Male",91063,"UCLA"
"Prof","B",26,19,"Male",178047,"UCLA"
"AssocProf","B",22,7,"Male",100057,"UCLA"
"AsstProf","B",3,3,"Male",91489,"UCLA"
"AsstProf","B",1,0,"Male",90342,"UCLA"
"Prof","B",21,8,"Male",107437,"UCLA"
"Prof","B",16,16,"Male",168831,"UCLA"
"Prof","B",18,19,"Male",132211,"UCLA"
"AssocProf","B",8,6,"Male",102757,"UCLA"
"Prof","B",25,18,"Male",182804,"UCLA"
"AsstProf","B",5,5,"Male",92774,"UCLA"
"Prof","B",19,19,"Male",153122,"UCLA"
"Prof","B",37,24,"Male",94711,"UCLA"
"Prof","B",20,20,"Male",135732,"UCLA"
"AssocProf","B",17,6,"Male",106547,"UCLA"
"Prof","B",28,25,"Male",113298,"UCLA"
