rank,discipline,yrs.since.phd,yrs.service,sex,salary,institution
Prof,B,19,18,Male,139067,Princeton
Prof,B,20,16,Male,172517,Princeton
AsstProf,B,4,3,Male,79067,Princeton
Prof,B,45,39,Male,114317,Princeton
Prof,B,40,41,Male,140817,Princeton
AssocProf,B,6,6,Male,96317,Princeton
Prof,B,30,23,Male,174317,Princeton
Prof,B,45,45,Male,147082,Princeton
Prof,B,21,20,Male,118567,Princeton
Prof,B,18,18,Female,128317,Princeton
AssocProf,B,12,8,Male,119117,Princeton
AsstProf,B,7,2,Male,79117,Princeton
AsstProf,B,1,1,Male,77017,Princeton
AsstProf,B,2,0,Male,77317,Princeton
Prof,B,20,18,Male,104117,Princeton
Prof,B,12,3,Male,116467,Princeton
Prof,B,19,20,Male,100317,Princeton
Prof,A,38,34,Male,102767,Princeton
Prof,A,37,23,Male,124067,Princeton
Prof,A,39,36,Female,136317,Princeton
Prof,A,31,26,Male,88882,Princeton
Prof,A,36,31,Male,101897,Princeton
Prof,A,34,30,Male,93221,Princeton
Prof,A,24,19,Male,112385,Princeton
AssocProf,A,13,8,Female,74147,Princeton
Prof,A,21,8,Male,105611,Princeton
Prof,A,35,23,Male,134202,Princeton
AsstProf,B,5,3,Male,81696,Princeton
AsstProf,B,11,0,Male,76317,Princeton
Prof,B,12,8,Male,117540,Princeton
Prof,B,20,4,Male,131578,Princeton
AsstProf,B,7,2,Male,79233,Princeton
Prof,B,13,9,Male,116573,Princeton
AsstProf,B,4,2,Male,79542,Princeton
AsstProf,B,4,2,Female,Eightythousand,Princeton
AsstProf,B,5,0,Female,76317,Princeton
Prof,B,22,21,Male,155067,Princeton
AsstProf,B,7,4,Male,85690,Princeton
Prof,B,41,31,Male,124513,Princeton
AssocProf,B,9,9,Male,100255,Princeton
Prof,B,23,2,Male,143543,Harvard
AssocProf,B,23,23,Male,90461,Harvard
Prof,B,40,27,Male,98342,Harvard
Prof,B,38,38,Male,228588,Harvard
Prof,B,19,19,Male,91427,Harvard
Prof,B,25,15,Male,111821,Harvard
Prof,B,40,28,Male,95236,Harvard
Prof,B,23,19,Female,148811,Harvard
Prof,B,25,25,Female,137139,Harvard
AsstProf,B,1,1,Male,67811,Harvard
Prof,B,28,28,Male,123664,Harvard
Prof,B,12,11,Male,105918,Harvard
AsstProf,B,11,3,Female,71735,Harvard
Prof,B,16,9,Male,103682,Harvard
AssocProf,B,12,11,Male,100803,Harvard
AssocProf,B,14,5,Male,80943,Harvard
Prof,B,23,21,Male,114747,Harvard
AssocProf,B,9,8,Male,87258,Harvard
AssocProf,B,10,9,Male,97178,Harvard
AsstProf,B,8,3,Male,72087,Harvard
AssocProf,B,9,8,Male,87347,Harvard
AsstProf,B,3,2,Male,72286,Harvard
Prof,B,33,31,Male,106828,Harvard
AssocProf,B,11,11,Female,100656,Harvard
AsstProf,B,4,3,Male,65447,Harvard
AssocProf,B,9,8,Male,97565,Harvard
Prof,B,22,12,Male,98043,Harvard
Prof,B,35,31,Male,96461,Harvard
Prof,B,17,17,Female,108555,Harvard
Prof,B,28,36,Male,88455,Harvard
Prof,B,17,2,Male,123363,Harvard
Prof,B,45,45,Male,143899,Harvard
Prof,B,29,19,Male,97174,Harvard
Prof,B,35,34,Male,89434,Harvard
Prof,B,28,23,Male,110441,Harvard
AsstProf,B,8,3,Male,70309,Harvard
Prof,B,17,3,Male,147523,Harvard
Prof,B,26,19,Male,190043,Harvard
AsstProf,B,3,1,Male,83143,Harvard
AsstProf,B,6,2,Male,81283,Harvard
Prof,B,43,28,Male,153765,Columbia
Prof,B,17,16,Male,138607,Columbia
Prof,B,22,20,Male,147662,Columbia
AsstProf,B,6,2,Male,91847,Columbia
Prof,B,17,18,Female,125982,Columbia
Prof,B,15,14,Male,135847,Columbia
Prof,B,37,37,Male,155730,Columbia
AsstProf,B,2,2,Male,91422,Columbia
Prof,B,25,25,Male,175294,Columbia
AssocProf,B,9,7,Male,110030,Columbia
AsstProf,B,10,5,Female,100054,Columbia
AssocProf,B,10,7,Male,108150,Columbia
AssocProf,B,10,7,Male,108653,Columbia
Prof,B,38,38,Male,169046,Columbia
Prof,B,21,20,Male,126705,Columbia
AsstProf,B,4,0,Male,87022,Columbia
AssocProf,B,17,12,Male,98633,Columbia
Prof,B,13,7,Male,132698,Columbia
Prof,B,30,14,Male,105257,Columbia
Prof,B,41,26,Male,109711,Columbia
Prof,B,42,25,Male,136239,Columbia
Prof,B,28,23,Male,129955,Columbia
Prof,B,16,5,Male,156325,Columbia
Prof,B,20,14,Female,130534,Columbia
AssocProf,A,18,10,Male,86872,Columbia
Prof,A,31,28,Male,116565,Columbia
AssocProf,A,11,8,Male,85121,Columbia
AssocProf,A,10,8,Male,85622,Columbia
AssocProf,A,15,8,Male,84522,Columbia
Prof,A,40,31,Male,134227,Columbia
Prof,A,20,16,Male,115451,Columbia
AssocProf,A,19,16,Male,85122,Columbia
AsstProf,A,3,1,Male,75522,Columbia
Prof,A,37,37,Male,107301,Columbia
Prof,A,12,0,Female,108022,Columbia
Prof,A,21,9,Male,123828,Columbia
Prof,A,30,29,Male,151522,Columbia
Prof,A,39,36,Male,120537,Columbia
AsstProf,A,4,1,Male,75522,Columbia
AsstProf,A,5,3,Female,76522,Columbia
Prof,A,14,14,Male,109285,MIT
Prof,A,32,32,Male,118281,MIT
Prof,A,24,22,Male,91234,MIT
AssocProf,A,25,22,Female,56856,MIT
Prof,A,24,22,Male,90586,MIT
Prof,A,54,49,Male,72134,MIT
Prof,A,28,26,Male,149472,MIT
AsstProf,A,2,0,Female,66472,MIT
Prof,A,32,30,Male,107250,MIT
AsstProf,A,4,2,Male,66972,MIT
AssocProf,A,11,9,Male,76973,MIT
Prof,A,56,57,Male,70812,MIT
AssocProf,A,10,8,Female,71472,MIT
AsstProf,A,3,1,Female,66472,MIT
Prof,A,35,25,Male,162607,MIT
Prof,A,20,18,Male,129972,MIT
Prof,A,16,14,Male,102234,MIT
Prof,A,17,14,Male,99640,MIT
AssocProf,A,10,7,Male,67849,MIT
Prof,A,21,18,Male,146636,MIT
AssocProf,A,14,8,Male,94074,MIT
AssocProf,A,15,10,Male,75472,MIT
Prof,A,19,11,Male,100580,MIT
AsstProf,B,3,3,Male,83914,MIT
Prof,B,27,27,Male,106668,MIT
Prof,B,28,28,Male,112987,MIT
AsstProf,B,4,4,Male,85972,MIT
Prof,B,27,27,Male,150910,MIT
Prof,B,36,26,Female,138623,MIT
AsstProf,B,4,3,Male,89051,MIT
Prof,B,14,12,Male,122120,MIT
AsstProf,B,4,4,Male,85972,MIT
Prof,B,21,9,Male,105140,MIT
AssocProf,B,12,10,Female,97966,MIT
AsstProf,B,4,0,Male,85972,MIT
Prof,B,21,21,Male,112943,MIT
AssocProf,B,12,18,Male,107313,MIT
AsstProf,B,1,0,Male,81972,MIT
AssocProf,B,6,6,Male,89380,MIT
Prof,B,15,16,Male,131139,MIT
AsstProf,B,2,2,Male,95971,UCLA
Prof,B,26,19,Male,182955,UCLA
AssocProf,B,22,7,Male,104965,UCLA
AsstProf,B,3,3,Male,96397,UCLA
AsstProf,B,1,0,Male,95250,UCLA
Prof,B,21,8,Male,112345,UCLA
Prof,B,16,16,Male,173739,UCLA
Prof,B,18,19,Male,137119,UCLA
AssocProf,B,8,6,Male,107665,UCLA
Prof,B,25,18,Male,187712,UCLA
AsstProf,B,5,5,Male,97682,UCLA
Prof,B,19,19,Male,158030,UCLA
Prof,B,37,24,Male,99619,UCLA
Prof,B,20,20,Male,140640,UCLA
AssocProf,B,17,6,Male,111455,UCLA
Prof,B,28,25,Male,118206,UCLA
AssocProf,B,10,7,Male,101891,UCLA
AssocProf,B,13,9,Male,107399,UCLA
Prof,B,27,14,Male,153804,UCLA
AsstProf,B,3,3,Female,98455,UCLA
Prof,B,11,11,Male,148922,UCLA
Prof,B,18,5,Male,147591,UCLA
AssocProf,B,8,8,Male,106455,UCLA
Prof,B,26,22,Male,156455,UCLA
Prof,B,23,23,Male,107455,UCLA
Prof,B,33,30,Male,140455,UCLA
AssocProf,B,13,10,Female,110205,UCLA
Prof,B,18,10,Male,113955,UCLA
AssocProf,B,28,28,Male,112755,UCLA
Prof,B,25,19,Male,160205,UCLA
Prof,B,22,9,Male,186455,UCLA
Prof,B,43,22,Male,140155,UCLA
Prof,B,19,18,Male,128555,UCLA
AssocProf,B,19,19,Male,92705,UCLA
