"rank","discipline","yrs.since.phd","yrs.service","sex","salary","institution"
"Prof","B",19,18,"Male",144342,"Princeton"
"Prof","B",20,16,"Male",177792,"Princeton"
"AsstProf","B",4,3,"Male",84342,"Princeton"
"Prof","B",45,39,"Male",119592,"Princeton"
"Prof","B",40,41,"Male",146092,"Princeton"
"AssocProf","B",6,6,"Male",101592,"Princeton"
"Prof","B",30,23,"Male",179592,"Princeton"
"Prof","B",45,45,"Male",152357,"Princeton"
"Prof","B",21,20,"Male",123842,"Princeton"
"Prof","B",18,18,"Femmmale",133592,"Princeton"
"AssocProf","B",12,8,"Male",124392,"Princeton"
"AsstProf","B",7,2,"Male",84392,"Princeton"
"AsstProf","B",1,1,"Male",82292,"Princeton"
"AsstProf","B",2,0,"Male",82592,"Princeton"
"Prof","B",20,-18,"Male",109392,"Princeton"
"Prof","B",12,3,"Male",121742,"Princeton"
"Prof","B",19,20,"Male",105592,"Princeton"
"Prof","A",38,34,"Male",108042,"Princeton"
"Prof","A",37,23,"Male",129342,"Princeton"
"Prof","A",39,36,"Female",141592,"Princeton"
"Prof","A",31,26,"Male",94157,"Princeton"
"Prof","A",36,31,"Male",107172,"Princeton"
"Prof","A",34,30,"Male",98496,"Princeton"
"Prof","A",24,19,"Male",117660,"Princeton"
"AssocProf","A",13,8,"Female",79422,"Princeton"
"Prof","A",21,8,"Male",110886,"Princeton"
"Prof","A",35,23,"Male",139477,"Princeton"
"AsstProf","B",5,3,"Male",86971,"Princeton"
"AsstProf","B",11,0,"Male",81592,"Princeton"
"Prof","B",12,8,"Male",122815,"Princeton"
"Prof","B",20,4,"Male",136853,"Princeton"
"AsstProf","B",7,2,"Male",84508,"Princeton"
"Prof","B",13,9,"Male",121848,"Princeton"
"AsstProf","B",4,2,"Male",84817,"Princeton"
"AsstProf","B",4,2,"Female",84817,"Princeton"
"AsstProf","B",5,0,"Female",81592,"Princeton"
"Prof","B",22,21,"Male",160342,"Princeton"
"AsstProf","B",7,4,"Male",90965,"Princeton"
"Prof","B",41,31,"Male",129788,"Princeton"
"AssocProf","B",9,9,"Male",105530,"Princeton"
"Prof","B",23,2,"Male",148395,"Harvard"
"AssocProf","B",23,23,"Male",95313,"Harvard"
"Prof","B",40,27,"Male",103194,"Harvard"
"Prof","B",38,38,"Male",233440,"Harvard"
"Prof","B",19,19,"Male",96279,"Harvard"
"Prof","B",25,15,"Male",116673,"Harvard"
"Prof","B",40,28,"Male",100088,"Harvard"
"Prof","B",23,19,"Female",153663,"Harvard"
"Prof","B",25,25,"Female",141991,"Harvard"
"AsstProf","B",1,1,"Male",72663,"Harvard"
"Prof","B",28,28,"Male",128516,"Harvard"
"Prof","B",12,11,"Male",110770,"Harvard"
"AsstProf","B",11,3,"Female",76587,"Harvard"
"Prof","B",16,9,"Male",108534,"Harvard"
"AssocProf","B",12,11,"Male",105655,"Harvard"
"AssocProf","B",14,5,"Male",85795,"Harvard"
"Prof","B",23,21,"Male",119599,"Harvard"
"AssocProf","B",9,8,"Male",92110,"Harvard"
"AssocProf","B",10,9,"Male",102030,"Harvard"
"AsstProf","B",8,3,"Male",76939,"Harvard"
"AssocProf","B",9,8,"Male",92199,"Harvard"
"AsstProf","B",3,2,"Male",77138,"Harvard"
"Prof","B",33,31,"Male",111680,"Harvard"
"AssocProf","B",11,11,"Female",105508,"Harvard"
"AsstProf","B",4,3,"Male",70299,"Harvard"
"AssocProf","B",9,8,"Male",102417,"Harvard"
"Prof","B",22,12,"Male",102895,"Harvard"
"Prof","B",35,31,"Male",101313,"Harvard"
"Prof","B",17,17,"Female",113407,"Harvard"
"Prof","B",28,36,"Male",93307,"Harvard"
"Prof","B",17,2,"Male",128215,"Harvard"
"Prof","B",45,45,"Male",148751,"Harvard"
"Prof","B",29,19,"Male",102026,"Harvard"
"Prof","B",35,34,"Male",94286,"Harvard"
"Prof","B",28,23,"Male",115293,"Harvard"
"AsstProf","B",8,3,"Male",75161,"Harvard"
"Prof","B",17,3,"Male",152375,"Harvard"
"Prof","B",26,19,"Male",194895,"Harvard"
"AsstProf","B",3,1,"Male",87995,"Harvard"
"AsstProf","B",6,2,"Male",86135,"Harvard"
"Prof","B",43,28,"Male",158036,"Columbia"
"Prof","B",17,16,"Male",142878,"Columbia"
"Prof","B",22,20,"Male",151933,"Columbia"
"AsstProf","B",6,2,"Male",96118,"Columbia"
"Prof","B",17,18,"Female",130253,"Columbia"
"Prof","B",15,14,"Male",140118,"Columbia"
"Prof","B",37,37,"Male",160001,"Columbia"
"AsstProf","B",2,2,"Male",95693,"Columbia"
"Prof","B",25,25,"Male",179565,"Columbia"
"AssocProf","B",9,7,"Male",114301,"Columbia"
"AsstProf","B",10,5,"Female",104325,"Columbia"
"AssocProf","B",10,7,"Male",112421,"Columbia"
"AssocProf","B",10,7,"Male",112924,"Columbia"
"Prof","B",38,38,"Male",173317,"Columbia"
"Prof","B",21,20,"Male",130976,"Columbia"
"AsstProf","B",4,0,"Male",91293,"Columbia"
"AssocProf","B",17,12,"Male",102904,"Columbia"
"Prof","B",13,7,"Male",136969,"Columbia"
"Prof","B",30,14,"Male",109528,"Columbia"
"Prof","B",41,26,"Male",113982,"Columbia"
"Prof","B",42,25,"Male",140510,"Columbia"
"Prof","B",28,23,"Male",134226,"Columbia"
"Prof","B",16,5,"Male",160596,"Columbia"
"Prof","B",20,14,"Female",134805,"Columbia"
"AssocProf","A",18,10,"Male",91143,"Columbia"
"Prof","A",31,28,"Male",120836,"Columbia"
"AssocProf","A",11,8,"Male",89392,"Columbia"
"AssocProf","A",10,8,"Male",89893,"Columbia"
"AssocProf","A",15,8,"Male",88793,"Columbia"
"Prof","A",40,31,"Male",138498,"Columbia"
"Prof","A",20,16,"Male",119722,"Columbia"
"AssocProf","A",19,16,"Male",89393,"Columbia"
"AsstProf","A",3,1,"Male",79793,"Columbia"
"Prof","A",37,37,"Male",111572,"Columbia"
"Prof","A",12,0,"Female",112293,"Columbia"
"Prof","A",21,9,"Male",128099,"Columbia"
"Prof","A",30,29,"Male",155793,"Columbia"
"Prof","A",39,36,"Male",124808,"Columbia"
"AsstProf","A",4,1,"Male",79793,"Columbia"
"AsstProf","A",5,3,"Female",80793,"Columbia"
"Prof","A",14,14,"Male",113335,"MIT"
"Prof","A",32,32,"Male",122331,"MIT"
"Prof","A",24,22,"Male",95284,"MIT"
"AssocProf","A",25,22,"Female",60906,"MIT"
"Prof","A",24,22,"Male",94636,"MIT"
"Prof","A",54,49,"Male",76184,"MIT"
"Prof","A",28,26,"Male",153522,"MIT"
"AsstProf","A",2,0,"Female",70522,"MIT"
"Prof","A",32,30,"Male",111300,"MIT"
"AsstProf","A",4,2,"Male",71022,"MIT"
"AssocProf","A",11,9,"Male",81023,"MIT"
"Prof","A",56,57,"Male",74862,"MIT"
"AssocProf","A",10,8,"Female",75522,"MIT"
"AsstProf","A",3,1,"Female",70522,"MIT"
"Prof","A",35,25,"Male",166657,"MIT"
"Prof","A",20,18,"Male",134022,"MIT"
"Prof","A",16,14,"Male",106284,"MIT"
"Prof","A",17,14,"Male",103690,"MIT"
"AssocProf","A",10,7,"Male",71899,"MIT"
"Prof","A",21,18,"Male",150686,"MIT"
"AssocProf","A",14,8,"Male",98124,"MIT"
"AssocProf","A",15,10,"Male",79522,"MIT"
"Prof","A",19,11,"Male",104630,"MIT"
"AsstProf","B",3,3,"Male",87964,"MIT"
"Prof","B",27,27,"Male",110718,"MIT"
"Prof","B",28,28,"Male",117037,"MIT"
"AsstProf","B",4,4,"Male",90022,"MIT"
"Prof","B",27,27,"Male",154960,"MIT"
"Prof","B",36,26,"Female",142673,"MIT"
"AsstProf","B",4,3,"Male",93101,"MIT"
"Prof","B",14,12,"Male",126170,"MIT"
"AsstProf","B",4,4,"Male",90022,"MIT"
"Prof","B",21,9,"Male",109190,"MIT"
"AssocProf","B",12,10,"Female",102016,"MIT"
"AsstProf","B",4,0,"Male",90022,"MIT"
"Prof","B",21,21,"Male",116993,"MIT"
"AssocProf","B",12,18,"Male",111363,"MIT"
"AsstProf","B",1,0,"Male",86022,"MIT"
"AssocProf","B",6,6,"Male",93430,"MIT"
"Prof","B",15,16,"Male",135189,"MIT"
"AsstProf","B",2,2,"Male",90136,"UCLA"
"Prof","B",26,19,"Male",177120,"UCLA"
"AssocProf","B",22,7,"Male",99130,"UCLA"
"AsstProf","B",3,3,"Male",90562,"UCLA"
"AsstProf","B",1,0,"Male",89415,"UCLA"
"Prof","B",21,8,"Male",106510,"UCLA"
"Prof","B",16,16,"Male",167904,"UCLA"
"Prof","B",18,19,"Male",131284,"UCLA"
"AssocProf","B",8,6,"Male",101830,"UCLA"
"Prof","B",25,18,"Male",181877,"UCLA"
"AsstProf","B",5,5,"Male",91847,"UCLA"
"Prof","B",19,19,"Male",152195,"UCLA"
"Prof","B",37,24,"Male",93784,"UCLA"
"Prof","B",20,20,"Male",134805,"UCLA"
"AssocProf","B",17,6,"Male",105620,"UCLA"
"Prof","B",28,25,"Male",112371,"UCLA"
"AssocProf","B",10,7,"Male",96056,"UCLA"
"AssocProf","B",13,9,"Male",101564,"UCLA"
"Prof","B",27,14,"Male",147969,"UCLA"
"AsstProf","B",3,3,"Female",92620,"UCLA"
"Prof","B",11,11,"Male",143087,"UCLA"
"Prof","B",18,5,"Male",141756,"UCLA"
"AssocProf","B",8,8,"Male",100620,"UCLA"
"Prof","B",26,22,"Male",150620,"UCLA"
"Prof","B",23,23,"Male",101620,"UCLA"
"Prof","B",33,30,"Male",134620,"UCLA"
"AssocProf","B",13,10,"Female",104370,"UCLA"
"Prof","B",18,10,"Male",108120,"UCLA"
"AssocProf","B",28,28,"Male",106920,"UCLA"
"Prof","B",25,19,"Male",154370,"UCLA"
"Prof","B",22,9,"Male",180620,"UCLA"
"Prof","B",43,22,"Male",134320,"UCLA"
"Prof","B",19,18,"Male",122720,"UCLA"
"AssocProf","B",19,19,"Male",86870,"UCLA"
"AssocProf","B",48,53,"Male",90620,"UCLA"
"AssocProf","B",9,7,"Male",114220,"UCLA"
"AsstProf","B",4,4,"Male",93320,"UCLA"
"AsstProf","B",4,4,"Male",92620,"UCLA"
"Prof","B",34,33,"Male",190029,"UCLA"
"Prof","B",38,22,"Male",115120,"UCLA"
"AsstProf","B",4,4,"Male",93479,"University of California Davis"
"Prof","B",40,40,"Male",120479,"University of California Davis"
"Prof","B",28,17,"Male",161179,"University of California Davis"
"Prof","B",17,17,"Male",153279,"University of California Davis"
"Prof","B",19,5,"Male",165779,"University of California Davis"
"Prof","B",21,2,"Male",97324,"University of California Davis"
"Prof","B",35,33,"Male",162979,"University of California Davis"
"Prof","B",18,18,"Male",120779,"University of California Davis"
"AsstProf","B",7,2,"Male",92079,"University of California Davis"
"Prof","B",20,20,"Male",163979,"University of California Davis"
"AsstProf","B",4,3,"Male",91779,"University of California Davis"
"Prof","B",39,39,"Male",112129,"University of California Davis"
"Prof","B",15,7,"Male",129179,"University of California Davis"
"Prof","B",26,19,"Male",126979,"University of California Davis"
"AssocProf","B",11,1,"Male",119479,"University of California Davis"
"Prof","B",16,11,"Male",146129,"University of California Davis"
"Prof","B",15,11,"Male",146779,"University of California Davis"
"AssocProf","B",29,22,"Male",106129,"University of California Davis"
"AssocProf","B",14,7,"Female",110429,"University of California Davis"
"Prof","B",13,11,"Male",120279,"University of California Davis"
"Prof","B",21,21,"Male",170779,"University of California Davis"
"Prof","B",23,10,"Male",145979,"University of California Davis"
"AssocProf","B",13,6,"Male",107929,"University of California Davis"
"Prof","B",34,20,"Male",130379,"University of California Davis"
"Prof","A",38,35,"Male",88579,"University of California Davis"
"Prof","A",20,20,"Male",123179,"University of California Davis"
"AsstProf","A",3,1,"Male",64679,"University of California Davis"
"AssocProf","A",9,7,"Male",70779,"University of California Davis"
"Prof","A",16,11,"Male",88954,"University of California Davis"
"Prof","A",39,38,"Male",134679,"University of California Davis"
"Prof","A",29,27,"Female",91779,"University of California Davis"
"AssocProf","A",26,24,"Female",74079,"University of California Davis"
"Prof","A",38,19,"Male",149529,"University of California Davis"
"Prof","A",36,19,"Female",118334,"University of California Davis"
"AsstProf","A",8,3,"Male",70479,"University of California Davis"
"Prof","A",28,17,"Male",82479,"University of California Davis"
"Prof","A",25,25,"Male",114779,"University of California Davis"
"AsstProf","A",7,6,"Female",63879,"University of California Davis"
"Prof","A",46,40,"Male",77981,"University of California Davis"
"Prof","A",19,6,"Male",96979,"University of California Davis"
"AsstProf","A",5,3,"Male",59903,"Yale"
"Prof","A",31,30,"Male",113578,"Yale"
"Prof","A",38,37,"Male",93303,"Yale"
"Prof","A",23,23,"Male",98903,"Yale"
"Prof","A",19,23,"Male",74976,"Yale"
"Prof","A",17,11,"Female",81153,"Yale"
"Prof","A",30,23,"Male",81803,"Yale"
"Prof","A",21,18,"Male",91803,"Yale"
"Prof","A",28,23,"Male",119503,"Yale"
"Prof","A",29,7,"Male",194703,"Yale"
"Prof","A",39,39,"Male",99703,"Yale"
"Prof","A",20,8,"Male",92703,"Yale"
"Prof","A",31,12,"Male",122703,"Yale"
"AsstProf","A",4,2,"Female",68203,"Yale"
"Prof","A",28,7,"Female",107153,"Yale"
"AssocProf","A",12,8,"Male",73703,"Yale"
"Prof","A",22,22,"Male",131003,"Yale"
"AssocProf","A",30,23,"Male",64703,"Yale"
"AsstProf","A",9,3,"Male",64503,"Yale"
"Prof","A",32,30,"Male",83253,"Yale"
"AssocProf","A",41,33,"Male",79303,"Yale"
"Prof","A",45,45,"Male",98253,"Yale"
"Prof","A",31,26,"Male",111903,"Yale"
"Prof","A",31,31,"Male",116703,"Yale"
"Prof","A",37,35,"Male",89703,"Yale"
"Prof","A",36,30,"Male",125503,"Yale"
"Prof","A",43,43,"Male",134643,"Yale"
"Prof","A",14,10,"Male",95053,"Yale"
"Prof","A",47,44,"Male",80353,"Yale"
"Prof","A",13,7,"Male",94403,"Yale"
"Prof","A",42,40,"Male",133953,"Yale"
"Prof","A",42,18,"Male",185503,"Yale"
"AsstProf","A",4,1,"Male",63703,"Yale"
"AsstProf","A",8,4,"Male",64703,"Yale"
"AsstProf","A",8,3,"Female",69203,"Yale"
"Prof","A",12,6,"Male",83703,"Yale"
"Prof","A",52,48,"Male",97903,"Yale"
"Prof","A",31,27,"Male",153903,"Yale"
"Prof","A",24,18,"Male",97803,"Yale"
"Prof","A",46,46,"Male",91303,"Yale"
"Prof","A",39,38,"Male",143867,"Stanford"
"Prof","A",37,27,"Male",110967,"Stanford"
"Prof","A",51,51,"Male",65167,"Stanford"
"Prof","A",45,43,"Male",163232,"Stanford"
"AssocProf","A",8,6,"Male",96017,"Stanford"
"AssocProf","A",49,49,"Male",89167,"Stanford"
"Prof","A",28,27,"Male",123167,"Stanford"
"AsstProf","A",2,0,"Male",92367,"Stanford"
"Prof","A",29,27,"Male",157867,"Stanford"
"AsstProf","A",8,5,"Male",81367,"Stanford"
"Prof","A",33,7,"Male",181867,"Stanford"
"Prof","A",32,28,"Male",175867,"Stanford"
"Prof","A",39,9,"Male",191167,"Stanford"
"AssocProf","A",11,1,"Male",112167,"Stanford"
"Prof","A",19,7,"Male",114667,"Stanford"
"Prof","A",40,36,"Male",104517,"Stanford"
"Prof","A",18,18,"Male",133667,"Stanford"
"Prof","A",17,11,"Male",156167,"Stanford"
"Prof","A",49,43,"Male",79667,"Stanford"
"AssocProf","A",45,39,"Male",78067,"Stanford"
"Prof","A",39,36,"Male",95967,"Stanford"
"Prof","A",27,16,"Male",134467,"Stanford"
"Prof","A",28,13,"Male",177867,"Stanford"
"Prof","A",14,4,"Male",112627,"Stanford"
"Prof","A",46,44,"Male",151417,"Stanford"
"Prof","A",33,31,"Male",118717,"Stanford"
"AsstProf","A",7,4,"Male",81867,"Stanford"
"Prof","A",31,28,"Male",129867,"Stanford"
"AsstProf","A",5,0,"Male",81367,"Stanford"
"Prof","A",22,15,"Male",174167,"Stanford"
"Prof","A",20,7,"Male",99417,"Stanford"
"Prof","A",14,9,"Male",115467,"Stanford"
"Prof","A",29,19,"Male",101717,"Stanford"
"Prof","A",35,35,"Male",107718,"Stanford"
"Prof","A",22,6,"Male",154167,"Stanford"
"AsstProf","B",6,3,"Male",92083,"Stanford"
