"rank","discipline","yrs.since.phd","yrs.service","sex","salary","institution"
"Prof","B",19,18,"Male",139531,"Princeton"
"Prof","B",20,16,"Male",172981,"Princeton"
"AsstProf","B",4,3,"Male",79531,"Princeton"
"Prof","B",45,39,"Male",114781,"Princeton"
"Prof","B",40,41,"Male",141281,"Princeton"
"AssocProf","B",6,6,"Male",96781,"Princeton"
"Prof","B",30,23,"Male",174781,"Princeton"
"Prof","B",45,45,"Male",147546,"Princeton"
"Prof","B",21,20,"Male",119031,"Princeton"
"Prof","B",18,18,"Femmmale",128781,"Princeton"
"AssocProf","B",12,8,"Male",119581,"Princeton"
"AsstProf","B",7,2,"Male",79581,"Princeton"
"AsstProf","B",1,1,"Male",77481,"Princeton"
"AsstProf","B",2,0,"Male",77781,"Princeton"
"Prof","B",20,18,"Male",104581,"Princeton"
"Prof","B",12,3,"Male",116931,"Princeton"
"Prof","B",19,20,"Male",100781,"Princeton"
"Prof","A",38,34,"Male",103231,"Princeton"
"Prof","A",37,23,"Male",124531,"Princeton"
"Prof","A",39,36,"Female",136781,"Princeton"
"Prof","A",31,26,"Male",89346,"Princeton"
"Prof","A",36,31,"Male",102361,"Princeton"
"Prof","A",34,30,"Male",93685,"Princeton"
"Prof","A",24,19,"Male",112849,"Princeton"
"AssocProf","A",13,8,"Female",74611,"Princeton"
"Prof","A",21,8,"Male",106075,"Princeton"
"Prof","A",35,23,"Male",134666,"Princeton"
"AsstProf","B",5,3,"Male",82160,"Princeton"
"AsstProf","B",11,0,"Male",76781,"Princeton"
"Prof","B",12,8,"Male",118004,"Princeton"
"Prof","B",20,4,"Male",132042,"Princeton"
"AsstProf","B",7,2,"Male",79697,"Princeton"
"Prof","B",13,9,"Male",117037,"Princeton"
"AsstProf","B",4,2,"Male",80006,"Princeton"
"AsstProf","B",4,2,"Female",80006,"Princeton"
"AsstProf","B",5,0,"Female",76781,"Princeton"
"Prof","B",22,21,"Male",155531,"Princeton"
"AsstProf","B",7,4,"Male",86154,"Princeton"
"Prof","B",41,31,"Male",124977,"Princeton"
"AssocProf","B",9,9,"Male",100719,"Princeton"
"Prof","B",23,2,"Male",150336,"Harvard"
"AssocProf","B",23,23,"Male",97254,"Harvard"
"Prof","B",40,27,"Male",105135,"Harvard"
"Prof","B",38,38,"Male",235381,"Harvard"
"Prof","B",19,19,"Male",98220,"Harvard"
"Prof","B",25,15,"Male",118614,"Harvard"
"Prof","B",40,28,"Male",102029,"Harvard"
"Prof","B",23,19,"Female",155604,"Harvard"
"Prof","B",25,25,"Female",143932,"Harvard"
"AsstProf","B",1,1,"Male",74604,"Harvard"
"Prof","B",28,28,"Male",130457,"Harvard"
"Prof","B",12,11,"Male",112711,"Harvard"
"AsstProf","B",11,3,"Female",78528,"Harvard"
"Prof","B",16,9,"Male",110475,"Harvard"
"AssocProf","B",12,11,"Male",107596,"Harvard"
"AssocProf","B",14,5,"Male",87736,"Harvard"
"Prof","B",23,21,"Male",121540,"Harvard"
"AssocProf","B",9,8,"Male",94051,"Harvard"
"AssocProf","B",10,9,"Male",103971,"Harvard"
"AsstProf","B",8,3,"Male",78880,"Harvard"
