"csoport","anya_lakohely","anya_vegzettseg","IQ","anya_IQ"
"halolaj","videk","felsofoku",95,114.052662586039
"halolaj","videk","felsofoku",136,117.068870027992
"halolaj","nagyvaros","felsofoku",110,101.070497920589
"halolaj","nagyvaros","kozepfoku",86,105.285209359479
"halolaj","nagyvaros","alapfoku",105,124.472700758645
"halolaj","nagyvaros","kozepfoku",9.5,88.0891654358035
"halolaj","nagyvaros","felsofoku",83,112.643608562547
"halolaj","nagyvaros","felsofoku",104,87.9794151773096
"halolaj","videk","felsofoku",122,109.649444360144
"halolaj","nagyvaros","kozepfoku",94,74.2527543774338
"halolaj","videk","felsofoku",130,130.980633543972
"halolaj","videk","kozepfoku",94,117.678336301764
"halolaj","nagyvaros","felsofoku",105,58.8514567963417
"halolaj","videk","kozepfoku",77,91.7898758490348
"halolaj","nagyvaros","felsofoku",134,112.645202443174
"halolaj","nagyvaros","felsofoku",108,128.85872480909
"halolaj","videk","kozepfoku",88,107.995985697011
"halolaj","videk","felsofoku",103,94.5809688508101
"halolaj","nagyvaros","felsofoku",116,101.974430799756
"halolaj","videk","kozepfoku",105,87.314236494996
"halolaj","videk","kozepfoku",102,70.0337850129191
"halolaj","videk","felsofoku",97,89.140388921705
"halolaj","videk","felsofoku",112,126.97958209232
"halolaj","videk","kozepfoku",98,120.732451749748
"halolaj","videk","kozepfoku",114,120.493350777719
"halolaj","videk","felsofoku",118,107.558631135472
"halolaj","nagyvaros","felsofoku",87,78.8344670146501
"halolaj","videk","kozepfoku",96,126.81556701777
"halolaj","videk","alapfoku",99,99.7266913462636
"halolaj","nagyvaros","alapfoku",84,84.0381684956382
"kontrol","videk","felsofoku",93,91.6855027569961
"kontrol","nagyvaros","kozepfoku",104,100.612565402952
"kontrol","nagyvaros","alapfoku",136,127.256527667407
"kontrol","videk","kozepfoku",104,123.724354506597
"kontrol","nagyvaros","felsofoku",100,109.174889962458
"kontrol","nagyvaros","kozepfoku",81,66.6943762528373
"kontrol","videk","kozepfoku",103,103.513409001739
"kontrol","videk","felsofoku",86,93.4536639448551
"kontrol","videk","alapfoku",90,113.183729296102
"kontrol","nagyvaros","alapfoku",88,88.6123319489228
"knotrol","videk","kozepfoku",78,71.9992012237855
"kontrol","nagyvaros","felsofoku",80,113.477255972959
"kontrol","nagyvaros","alapfoku",73,82.1715492992689
"kontrol","nagyvaros","felsofoku",104,104.870279178307
"kontrol","videk","kozepfoku",120,119.168095796797
"kontrol","videk","kozepfoku",102,118.011622527505
"kontrol","nagyvaros","felsofoku",89,114.386534280073
"kontrol","nagyvaros","alapfoku",105,73.0386902663306
"kontrol","videk","kozepfoku",104,85.7805441638184
"kontrol","nagyvaros","kozepfoku",91,115.74216403117
"kontrol","videk","alapfoku",120,98.6432818470493
"kontrol","videk","kozepfoku",112,107.982087429454
"kontrol","videk","alapfoku",61,94.6795823776229
"kontrol","videk","alapfoku",96,85.0933683141313
"kontrol","nagyvaros","kozepfoku",102,88.3532302521909
"kontrol","videk","felsofoku",120,127.680261203031
"kontrol","videk","felsofoku",109,81.5265174314301
"kontrol","nagyvaros","alapfoku",120,136.762091000015
"kontrol","videk","kozepfoku",93,76.3163717069521
"kontrol","videk","alapfoku",104,97.9637266424094
